,City,Price,Bedroom,Bathroom,Face,Road,Amenities,Unit,New_Area,Road_Width,Number of Amenities
1385,Kathmandu,10600000,2,1,South,10 Feet,"[""'Garage'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'"", "" 'Water Well'""]",Aana,3.0,10,6
1392,Kathmandu,2200000,0,0,West,14 Feet,[''],Aana,24.0,14,1
1394,Kathmandu,20000000,0,0,South,20 Feet,[''],Aana,14.0,20,1
1395,Kathmandu,2250000,0,0,South,16 Feet,[''],Aana,18.0,16,1
1397,Lalitpur,150000000,0,0,South,20 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,17.0,20,5
1401,Kathmandu,39000000,5,2,South,14 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,5.0,14,5
1402,Kathmandu,39000000,4,4,South,13 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,10.0,13,7
1403,Kathmandu,4700000,0,0,South,12 Feet,[''],Aana,11.0,12,1
1405,Kathmandu,2800000,0,0,East,15 Feet,[''],Aana,4.0,15,1
1407,Bhaktapur,725000,0,0,East,13 Feet,[''],Aana,14.0,13,1
1410,Kathmandu,33000000,0,0,East,20 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,7.0,20,5
1412,Lalitpur,170000,0,0,East,13 Feet,"[""'Balcony'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,8.0,13,5
1413,Kathmandu,160000,7,5,South,13 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,8.0,13,5
1414,Kathmandu,24500000,0,0,South East,14 Feet,"[""'Balcony'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,4.0,14,6
1415,Kathmandu,61500000,0,0,South,15 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,18.0,15,6
1416,Kathmandu,70000000,4,5,South,12 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,10.0,12,8
1417,Kathmandu,1000000,0,0,North,20 Feet,"[""'Wifi'"", "" 'Drainage'"", "" 'Water Supply'""]",Aana,8.0,20,3
1419,Kavre,9000000,7,3,East,24 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,3.0,24,5
1425,Bhaktapur,2200000,0,0,South West,13 Feet / Gravelled,[''],Aana,4.0,13,1
1426,Kathmandu,300000,6,3,East,12 Feet / Blacktopped,"[""'Garage'"", "" 'Balcony'"", "" 'Frontyard'"", "" 'Garden'"", "" 'Water Supply'"", "" 'TV Cable'"", "" 'Solar Water'"", "" 'Water Well'"", "" 'Water Tank'"", "" 'Modular Kitchen'"", "" 'Drainage'""]",Ropani,16.0,12,11
1428,Kathmandu,25000000,6,0,North East,16 Feet / Gravelled,"[""'Garage'"", "" 'Backyard'"", "" 'Balcony'"", "" 'Garden'"", "" 'Microwave'"", "" 'Water Supply'"", "" 'Modular Kitchen'"", "" 'Water Well'"", "" 'Water Tank'"", "" 'Solar Water'""]",Aana,4.0,16,10
1432,Kathmandu,10500000,2,1,South West,12 Feet / Gravelled,"[""'Garage'"", "" 'Backyard'"", "" 'Deck'"", "" 'Frontyard'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Well'""]",Aana,3.2,12,9
1433,Kathmandu,12500000,3,3,North,10 Feet / Gravelled,"[""'Balcony'"", "" 'Deck'"", "" 'Fencing'"", "" 'Frontyard'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Well'""]",Aana,3.0,10,9
1437,Kathmandu,3000000,0,0,East,13 Feet,[''],Aana,21.0,13,1
1438,Kathmandu,142500000,42,0,South,22 Feet / Blacktopped,[''],Aana,7.0,22,1
1440,Kathmandu,150000,5,4,South East,15 Feet,"[""'Lawn'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Ropani,16.0,15,6
1441,Lalitpur,1200000,0,0,West,20 Feet / Blacktopped,[''],Ropani,640.0,20,1
1442,Kathmandu,250000,5,4,East,13 Feet,"[""'Garden'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,25.0,13,5
1444,Lalitpur,125000,0,0,South East,13 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,7.0,13,5
1445,Bhaktapur,900000,0,0,South East,16 Feet / Blacktopped,[''],Ropani,144.0,16,1
1447,Kathmandu,175000,0,0,North,15 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,10.0,15,6
1448,Lalitpur,150000,0,0,South,13 Feet,"[""'Balcony'"", "" 'TV Cable'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,9.0,13,5
1449,Kathmandu,125000,6,4,East,15 Feet,"[""'Balcony'"", "" 'Garden'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'""]",Aana,17.0,15,8
